umur_rumah,jarak_terdekat_MRTstation,Jumlah_minimarket,latitude,longitude,harga_rumah_per_unit
16.4,289.3248,5,24.98203,121.54348,41.2
16.2,2103.555,3,24.96042,121.51462,25.6
37.7,490.3446,0,24.97217,121.53471,37
13.6,4197.349,0,24.93885,121.50383,13
13.6,319.0708,6,24.96495,121.54277,47.4
34.8,405.2134,1,24.97349,121.53372,41.4
27.3,337.6016,6,24.96431,121.54063,36.5
3.8,383.8624,5,24.98085,121.54391,60.7
36.6,488.8193,8,24.97015,121.54494,38.3
4,2147.376,3,24.96299,121.51284,33.4
3.1,383.8624,5,24.98085,121.54391,56.2
18.2,350.8515,1,24.97544,121.53119,43.1
1.7,329.9747,5,24.98254,121.54395,50.4
2.6,533.4762,4,24.97445,121.54765,55
1.1,329.9747,5,24.98254,121.54395,51.8
18,6306.153,1,24.95743,121.47516,15
6.8,379.5575,10,24.98343,121.53762,54.4
16.9,368.1363,8,24.9675,121.54451,42.3
21.7,512.5487,4,24.974,121.53842,44.2
8,2216.612,4,24.96007,121.51361,23.9
16.2,289.3248,5,24.98203,121.54348,46.2
30.6,431.1114,10,24.98123,121.53743,48.5
0,208.3905,6,24.95618,121.53844,45.7
24.2,4605.749,0,24.94684,121.49578,13.4
20.6,737.9161,2,24.98092,121.54739,46.4
16.1,289.3248,5,24.98203,121.54348,51.7
31.7,5512.038,1,24.95095,121.48458,18.8
33.4,186.9686,6,24.96604,121.54211,42.2
17,4082.015,0,24.94155,121.50381,18.8
3.9,49.66105,8,24.95836,121.53756,56.8
3.6,373.8389,10,24.98322,121.53765,61.9
0,292.9978,6,24.97744,121.54458,71
15.9,289.3248,5,24.98203,121.54348,53
17.3,2261.432,4,24.96182,121.51222,29.5
2.7,533.4762,4,24.97445,121.54765,53.9
13.5,4197.349,0,24.93885,121.50383,18.6
16.2,289.3248,5,24.98203,121.54348,55
0,292.9978,6,24.97744,121.54458,70.1
13.1,1164.838,4,24.99156,121.53406,32.2
11.6,390.5684,5,24.97937,121.54245,39.4
38.5,665.0636,3,24.97503,121.53692,34.2
18.1,837.7233,0,24.96334,121.54767,29.7
38.2,552.4371,2,24.97598,121.53381,29.8
13.7,4082.015,0,24.94155,121.50381,15.4
6.4,90.45606,9,24.97433,121.5431,59.5
5.1,1867.233,2,24.98407,121.51748,35.6
5.9,90.45606,9,24.97433,121.5431,56.3
34.9,567.0349,4,24.97003,121.5458,28.5
1.9,372.1386,7,24.97293,121.54026,40.5
1.8,1455.798,1,24.9512,121.549,27
40.1,123.7429,8,24.97635,121.54329,44.3
31.5,5512.038,1,24.95095,121.48458,17.4
13.2,170.1289,1,24.97371,121.52984,29.3
36.6,488.8193,8,24.97015,121.54494,38.1
32.8,377.8302,9,24.97151,121.5435,38.6
12.6,383.2805,7,24.96735,121.54464,42.5
13.6,492.2313,5,24.96515,121.53737,43.8
21.2,2185.128,3,24.96322,121.51237,27.7
33.3,196.6172,7,24.97701,121.54224,39.4
21.7,463.9623,9,24.9703,121.54458,42
17.5,964.7496,4,24.98872,121.53411,38.2
3.9,2147.376,3,24.96299,121.51284,31.7
32.4,265.0609,8,24.98059,121.53986,40.2
28.2,330.0854,8,24.97408,121.54011,43.4
30.2,472.1745,3,24.97005,121.53758,36.5
5.6,90.45606,9,24.97433,121.5431,50
0,292.9978,6,24.97744,121.54458,73.6
6.2,1939.749,1,24.95155,121.55387,31.3
12.4,1712.632,2,24.96412,121.5167,31.3
23,3947.945,0,24.94783,121.50243,25.3
12,1360.139,1,24.95204,121.54842,25.3
6.6,90.45606,9,24.97433,121.5431,58.1
40.9,122.3619,8,24.96756,121.5423,67.7
41.4,281.205,8,24.97345,121.54093,63.3
30.3,1264.73,0,24.94883,121.52954,19.1
18.5,2175.744,3,24.9633,121.51243,28.1
13.5,2147.376,3,24.96299,121.51284,23.6
21.3,537.7971,4,24.97425,121.53814,42.2
0,338.9679,9,24.96853,121.54413,44.9
20.6,2469.645,4,24.96108,121.51046,21.8
34.6,272.6783,5,24.95562,121.53872,26.9
12,1360.139,1,24.95204,121.54842,28.9
13.2,150.9347,7,24.96725,121.54252,48.1
18.2,2179.59,3,24.96299,121.51252,21.8
6.5,90.45606,9,24.97433,121.5431,63.9
18,1414.837,1,24.95182,121.54887,26.6
16.2,4074.736,0,24.94235,121.50357,14.7
17,1485.097,4,24.97073,121.517,30.7
30,1013.341,5,24.99006,121.5346,22.8
35.9,640.7391,3,24.97563,121.53715,61.5
11.8,533.4762,4,24.97445,121.54765,40.3
2,2077.39,3,24.96357,121.51329,33.4
16.4,3780.59,0,24.93293,121.51203,45.1
13.6,492.2313,5,24.96515,121.53737,48
6.3,90.45606,9,24.97433,121.5431,58.1
11,1712.632,2,24.96412,121.5167,28.8
10.4,276.449,5,24.95593,121.53913,33.6
5.2,390.5684,5,24.97937,121.54245,52.2
16.1,815.9314,4,24.97886,121.53464,35.6
16.6,323.6912,6,24.97841,121.5428,51
29.6,535.527,8,24.98092,121.53653,37.5
33,181.0766,9,24.97697,121.54262,42
0,338.9679,9,24.96853,121.54413,50.8
13.9,4573.779,0,24.94867,121.49507,19.2
33.2,121.7262,10,24.98178,121.54059,46.1
33.9,157.6052,7,24.96628,121.54196,41.5
17.3,444.1334,1,24.97501,121.5273,43.9
2.6,1554.25,3,24.97026,121.51642,31.1
3.1,577.9615,6,24.97201,121.54722,47.7
32.5,424.5442,8,24.97587,121.53913,36.3
1,193.5845,6,24.96571,121.54089,50.7
12.5,561.9845,5,24.98746,121.54391,42
16.1,4066.587,0,24.94297,121.50342,12.9
16.3,4066.587,0,24.94297,121.50342,20.5
31.9,1146.329,0,24.9492,121.53076,16.1
28,372.6242,6,24.97838,121.54119,40.8
37.9,488.5727,1,24.97349,121.53451,34.2
4,2147.376,3,24.96299,121.51284,30.7
13.9,4079.418,0,25.01459,121.51816,27.3
17.4,6488.021,1,24.95719,121.47353,11.2
12.8,1449.722,3,24.97289,121.51728,21.4
3.8,383.8624,5,24.98085,121.54391,55
15.9,1497.713,3,24.97003,121.51696,23.6
9,1402.016,0,24.98569,121.5276,38.5
8.1,104.8101,5,24.96674,121.54067,52.5
19.2,383.7129,8,24.972,121.54477,48.1
41.3,401.8807,4,24.98326,121.5446,35.1
10.5,279.1726,7,24.97528,121.54541,51.6
11.5,1360.139,1,24.95204,121.54842,26.2
18.4,2674.961,3,24.96143,121.50827,25.7
34.6,3085.17,0,24.998,121.5155,41.2
26.8,482.7581,5,24.97433,121.53863,35.5
0,185.4296,0,24.9711,121.5317,52.2
18.1,1783.18,3,24.96731,121.51486,20.9
1.5,23.38284,7,24.96772,121.54102,47.7
16.2,2288.011,3,24.95885,121.51359,24.4
3.6,383.8624,5,24.98085,121.54391,58.8
34.4,126.7286,8,24.96881,121.54089,48.2
14.7,1717.193,2,24.96447,121.51649,23
32,1156.777,0,24.94935,121.53046,12.8
0,274.0144,1,24.9748,121.53059,52.2
14.8,393.2606,6,24.96172,121.53812,7.6
6.5,376.1709,6,24.95418,121.53713,40.9
8.3,104.8101,5,24.96674,121.54067,42.8
13.6,4197.349,0,24.93885,121.50383,19.2
37.2,186.5101,9,24.97703,121.54265,78.3
18.8,390.9696,7,24.97923,121.53986,40.6
33.6,371.2495,8,24.97254,121.54059,41.9
16.6,289.3248,5,24.98203,121.54348,59.6
0,185.4296,0,24.9711,121.5317,55.3
32,84.87882,10,24.98298,121.54024,37.9
25.3,1583.722,3,24.96622,121.51709,30.6
40.9,167.5989,5,24.9663,121.54026,41
34.7,482.7581,5,24.97433,121.53863,41.1
17.7,350.8515,1,24.97544,121.53119,37.4
10,942.4664,0,24.97843,121.52406,43.5
29.4,4510.359,1,24.94925,121.49542,13.2
19.2,616.4004,3,24.97723,121.53767,39.6
33.5,563.2854,8,24.98223,121.53597,46.6
4.3,432.0385,7,24.9805,121.53778,45.2
25.6,4519.69,0,24.94826,121.49587,15.6
12.9,187.4823,1,24.97388,121.52981,33.1
27.5,394.0173,7,24.97305,121.53994,41
12.3,1360.139,1,24.95204,121.54842,29.5
12.9,250.631,7,24.96606,121.54297,39.3
3.5,757.3377,3,24.97538,121.54971,36.7
37.8,590.9292,1,24.97153,121.53559,39.7
13,492.2313,5,24.96515,121.53737,39.3
24,4527.687,0,24.94741,121.49628,14.4
19.2,557.478,4,24.97419,121.53797,47
11,1931.207,2,24.96365,121.51471,21.3
15,383.2805,7,24.96735,121.54464,34.4
13.2,1164.838,4,24.99156,121.53406,34.3
8.5,104.8101,5,24.96674,121.54067,55.5
25.9,4519.69,0,24.94826,121.49587,22.1
20.4,2469.645,4,24.96108,121.51046,23.8
11.9,3171.329,0,25.00115,121.51776,46.6
30.3,4510.359,1,24.94925,121.49542,22.6
5.6,2408.993,0,24.95505,121.55964,24.7
3.7,577.9615,6,24.97201,121.54722,41.6
32.7,392.4459,6,24.96398,121.5425,30.5
25.3,2707.392,3,24.96056,121.50831,17.7
21.7,1157.988,0,24.96165,121.55011,23.8
13.3,492.2313,5,24.96515,121.53737,38.9
18.3,82.88643,10,24.983,121.54026,46.6
14.6,339.2289,1,24.97519,121.53151,26.5
1.1,193.5845,6,24.96571,121.54089,49
14.7,1935.009,2,24.96386,121.51458,22.9
13.3,250.631,7,24.96606,121.54297,42
13.3,561.9845,5,24.98746,121.54391,47.3
30.8,377.7956,6,24.96427,121.53964,36.8
14.4,169.9803,1,24.97369,121.52979,50.2
31.3,1758.406,1,24.95402,121.55282,20.7
10.3,3079.89,0,24.9546,121.56627,24.7
31.5,258.186,9,24.96867,121.54331,36.3
1.1,193.5845,6,24.96571,121.54089,45.1
6.4,90.45606,9,24.97433,121.5431,62.2
3.4,56.47425,7,24.95744,121.53711,54.4
37.1,918.6357,1,24.97198,121.55063,31.9
34.9,179.4538,8,24.97349,121.54245,39.7
2.3,184.3302,6,24.96581,121.54086,45.4
1.1,193.5845,6,24.96571,121.54089,54.4
31.7,1159.454,0,24.9496,121.53018,13.8
11.6,201.8939,8,24.98489,121.54121,55.9
27.6,515.1122,5,24.96299,121.5432,37.4
30.9,6396.283,1,24.94375,121.47883,12.2
17.4,995.7554,0,24.96305,121.54915,25.5
