,No;umur_rumah;jarak_terdekat_MRTstation;Jumlah_minimarket;latitude;longitude;harga_rumah_per_unit
89,90;23;3947.945;0;24.94783;121.50243;25.3
235,236;12.9;250.631;7;24.96606;121.54297;39.3
123,124;0;185.4296;0;24.9711;121.5317;45.5
72,73;32.5;424.5442;8;24.97587;121.53913;36.3
198,199;34;157.6052;7;24.96628;121.54196;39.1
146,147;0;185.4296;0;24.9711;121.5317;52.2
35,36;13.9;4079.418;0;25.01459;121.51816;27.3
31,32;29.6;769.4034;7;24.98281;121.53408;25
296,297;12.5;1144.436;4;24.99176;121.53456;34.1
259,260;17.7;837.7233;0;24.96334;121.54767;28.8
78,79;38.2;552.4371;2;24.97598;121.53381;29.8
359,360;5.6;2408.993;0;24.95505;121.55964;24.7
384,385;16.1;4066.587;0;24.94297;121.50342;12.9
43,44;34.4;512.7871;6;24.98748;121.54301;34.1
321,322;16.9;964.7496;4;24.98872;121.53411;37.7
61,62;5.3;259.6607;6;24.97585;121.54516;63.2
197,198;34.4;126.7286;8;24.96881;121.54089;48.2
182,183;13.5;2147.376;3;24.96299;121.51284;23.6
184,185;14.1;2615.465;0;24.95495;121.56174;21.8
124,125;9.9;279.1726;7;24.97528;121.54541;57.4
20,21;4.5;2275.877;3;24.96314;121.51151;29.3
143,144;13.6;492.2313;5;24.96515;121.53737;40.1
39,40;16.2;289.3248;5;24.98203;121.54348;46.2
279,280;2.6;1554.25;3;24.97026;121.51642;31.1
125,126;1.1;193.5845;6;24.96571;121.54089;48.6
53,54;13.3;492.2313;5;24.96515;121.53737;38.9
166,167;0;292.9978;6;24.97744;121.54458;73.6
202,203;38.3;642.6985;3;24.97559;121.53713;31.5
135,136;18.9;1009.235;0;24.96357;121.54951;20.8
30,31;25.9;4519.69;0;24.94826;121.49587;22.1
12,13;13;492.2313;5;24.96515;121.53737;39.3
82,83;13.2;150.9347;7;24.96725;121.54252;48.1
380,381;14.1;289.3248;5;24.98203;121.54348;53.3
86,87;1.8;1455.798;1;24.9512;121.549;27
183,184;17;4082.015;0;24.94155;121.50381;18.8
52,53;32.1;1438.579;3;24.97419;121.5175;27
64,65;17.5;995.7554;0;24.96305;121.54915;25.3
68,69;30.4;464.223;6;24.97964;121.53805;36.2
126,127;38.6;804.6897;4;24.97838;121.53477;62.9
76,77;35.9;616.4004;3;24.97723;121.53767;36.8
239,240;18.1;837.7233;0;24.96334;121.54767;29.7
392,393;42.7;443.802;6;24.97927;121.53874;35.3
159,160;15.5;815.9314;4;24.97886;121.53464;37.4
307,308;10.3;3079.89;0;24.9546;121.56627;24.7
314,315;3.7;577.9615;6;24.97201;121.54722;41.6
65,66;40.1;123.7429;8;24.97635;121.54329;44.3
81,82;30.8;377.7956;6;24.96427;121.53964;36.8
42,43;36.1;519.4617;5;24.96305;121.53758;34.7
382,383;16.3;3529.564;0;24.93207;121.51597;29.3
207,208;38.5;665.0636;3;24.97503;121.53692;34.2
41,42;16.8;4066.587;0;24.94297;121.50342;18.2
405,406;23;130.9945;6;24.95663;121.53765;37.2
408,409;18.5;2175.744;3;24.9633;121.51243;28.1
103,104;0;208.3905;6;24.95618;121.53844;45.7
23,24;10.1;279.1726;7;24.97528;121.54541;47.9
128,129;41.3;124.9912;6;24.96674;121.54039;60.7
180,181;26.9;4449.27;0;24.94898;121.49621;15.5
345,346;0;185.4296;0;24.9711;121.5317;37.9
129,130;38.5;216.8329;7;24.98086;121.54162;41
85,86;0;338.9679;9;24.96853;121.54413;50.8
319,320;34.6;272.6783;5;24.95562;121.53872;26.9
337,338;31.3;600.8604;5;24.96871;121.54651;30.9
217,218;28;372.6242;6;24.97838;121.54119;40.8
360,361;32.9;87.30222;10;24.983;121.54022;47.1
299,300;33.2;121.7262;10;24.98178;121.54059;46.1
7,8;20.3;287.6025;6;24.98042;121.54228;46.7
284,285;15;383.2805;7;24.96735;121.54464;34.4
297,298;34.9;567.0349;4;24.97003;121.5458;28.5
336,337;5.1;1867.233;2;24.98407;121.51748;35.6
169,170;8.4;1962.628;1;24.95468;121.55481;23.5
347,348;17.4;6488.021;1;24.95719;121.47353;11.2
334,335;30;1013.341;5;24.99006;121.5346;22.8
112,113;9.9;2102.427;3;24.96044;121.51462;23.1
313,314;8.3;104.8101;5;24.96674;121.54067;42.8
270,271;10.8;252.5822;1;24.9746;121.53046;117.5
403,404;30.9;161.942;9;24.98353;121.53966;39.7
96,97;6.4;90.45606;9;24.97433;121.5431;59.5
214,215;18.1;1783.18;3;24.96731;121.51486;20.9
302,303;16.5;2288.011;3;24.95885;121.51359;23.2
118,119;25.3;1583.722;3;24.96622;121.51709;30.6
4,5;5;390.5684;5;24.97937;121.54245;43.1
229,230;31;1156.412;0;24.9489;121.53095;19
138,139;10;942.4664;0;24.97843;121.52406;43.5
221,222;9;1402.016;0;24.98569;121.5276;38.5
400,401;26.8;482.7581;5;24.97433;121.53863;35.5
158,159;11.6;390.5684;5;24.97937;121.54245;39.4
24,25;39.6;480.6977;4;24.97353;121.53885;38.8
288,289;16.6;323.6912;6;24.97841;121.5428;51
355,356;3.8;383.8624;5;24.98085;121.54391;60.7
66,67;1;193.5845;6;24.96571;121.54089;50.7
98,99;16.4;289.3248;5;24.98203;121.54348;51
1,2;19.5;306.5947;9;24.98034;121.53951;42.2
367,368;15;1828.319;2;24.96464;121.51531;20.9
394,395;32.6;4136.271;1;24.95544;121.4963;24.7
115,116;20.6;737.9161;2;24.98092;121.54739;46.4
3,4;13.3;561.9845;5;24.98746;121.54391;54.8
56,57;33.6;371.2495;8;24.97254;121.54059;41.9
28,29;19.2;557.478;4;24.97419;121.53797;47
203,204;15.6;289.3248;5;24.98203;121.54348;46.1
136,137;11.4;390.5684;5;24.97937;121.54245;46.8
34,35;15.4;205.367;7;24.98419;121.54243;55.1
266,267;17.8;1783.18;3;24.96731;121.51486;23.7
212,213;17.6;1805.665;2;24.98672;121.52091;31.1
105,106;0;292.9978;6;24.97744;121.54458;71
333,334;7.8;104.8101;5;24.96674;121.54067;38.4
211,212;0;274.0144;1;24.9748;121.53059;43.5
37,38;12;1360.139;1;24.95204;121.54842;25.3
323,324;28.6;197.1338;6;24.97631;121.54436;42.5
273,274;13.2;170.1289;1;24.97371;121.52984;29.3
369,370;20.2;2185.128;3;24.96322;121.51237;22.8
312,313;35.4;318.5292;9;24.97071;121.54069;78
163,164;8.5;104.8101;5;24.96674;121.54067;55.5
205,206;12.8;1449.722;3;24.97289;121.51728;21.4
326,327;4.1;56.47425;7;24.95744;121.53711;62.1
59,60;13.3;336.0532;5;24.95776;121.53438;42.4
141,142;5.1;1559.827;3;24.97213;121.51627;28.9
263,264;3.9;2147.376;3;24.96299;121.51284;31.7
331,332;25.6;4519.69;0;24.94826;121.49587;15.6
389,390;40.9;122.3619;8;24.96756;121.5423;67.7
201,202;13.1;561.9845;5;24.98746;121.54391;45.9
147,148;3.2;489.8821;8;24.97017;121.54494;43.2
107,108;12.2;1360.139;1;24.95204;121.54842;26.6
33,34;16.5;323.655;6;24.97841;121.54281;49.3
352,353;18.4;2674.961;3;24.96143;121.50827;25.7
358,359;1.1;193.5845;6;24.96571;121.54089;45.1
46,47;21.7;463.9623;9;24.9703;121.54458;42
228,229;11.9;3171.329;0;25.00115;121.51776;46.6
231,232;16.2;4074.736;0;24.94235;121.50357;14.7
253,254;30.4;1735.595;2;24.96464;121.51623;25.9
94,95;40.9;167.5989;5;24.9663;121.54026;41
264,265;32.6;493.657;7;24.96968;121.54522;40.6
87,88;16.9;4066.587;0;24.94297;121.50342;18.3
132,133;26.6;482.7581;5;24.97433;121.53863;37.5
316,317;13.3;250.631;7;24.96606;121.54297;42
281,282;4.7;387.7721;9;24.98118;121.53788;44.8
144,145;11.9;1360.139;1;24.95204;121.54842;28.4
353,354;4.1;2147.376;3;24.96299;121.51284;31.3
54,55;16.1;289.3248;5;24.98203;121.54348;51.7
339,340;1.7;329.9747;5;24.98254;121.54395;50.4
162,163;16;4066.587;0;24.94297;121.50342;11.6
388,389;10.4;2251.938;4;24.95957;121.51353;27.3
248,249;19;1009.235;0;24.96357;121.54951;22.3
305,306;16.2;289.3248;5;24.98203;121.54348;55
97,98;28.4;617.4424;3;24.97746;121.53299;34.6
152,153;12;1360.139;1;24.95204;121.54842;28.9
208,209;11.5;1360.139;1;24.95204;121.54842;26.2
265,266;15.7;815.9314;4;24.97886;121.53464;38.1
215,216;19.2;383.7129;8;24.972;121.54477;48.1
174,175;4.3;432.0385;7;24.9805;121.53778;45.2
258,259;0;292.9978;6;24.97744;121.54458;63.3
407,408;5.2;2408.993;0;24.95505;121.55964;22.3
114,115;30.6;143.8383;8;24.98155;121.54142;53.3
164,165;0;185.4296;0;24.9711;121.5317;55.2
99,100;6.4;90.45606;9;24.97433;121.5431;62.2
156,157;30.7;1264.73;0;24.94883;121.52954;18.3
185,186;31.4;1447.286;3;24.97285;121.5173;21.5
187,188;8.9;3078.176;0;24.95464;121.56627;22
119,120;16.6;289.3248;5;24.98203;121.54348;59.6
271,272;17.7;451.6419;8;24.96945;121.5449;26.5
351,352;4;2180.245;3;24.96324;121.51241;28.6
385,386;18.3;82.88643;10;24.983;121.54026;46.6
131,132;4;2147.376;3;24.96299;121.51284;30.7
161,162;19.2;616.4004;3;24.97723;121.53767;39.6
303,304;38.3;439.7105;0;24.97161;121.53423;38.4
177,178;33;181.0766;9;24.97697;121.54262;42
122,123;31.5;414.9476;4;24.98199;121.54464;32.5
377,378;3.9;49.66105;8;24.95836;121.53756;56.8
354,355;12.2;1360.139;1;24.95204;121.54842;30.1
240,241;11;1712.632;2;24.96412;121.5167;28.8
320,321;13.5;4197.349;0;24.93885;121.50383;18.6
80,81;11.8;533.4762;4;24.97445;121.54765;40.3
246,247;16.4;389.8219;6;24.96412;121.54273;40.6
375,376;21.7;1157.988;0;24.96165;121.55011;23.8
58,59;30.3;4510.359;1;24.94925;121.49542;22.6
181,182;11.6;201.8939;8;24.98489;121.54121;55.9
275,276;1.5;23.38284;7;24.96772;121.54102;49.7
51,52;31.3;1758.406;1;24.95402;121.55282;20.7
165,166;13.7;1236.564;1;24.97694;121.55391;30.6
366,367;14.2;1801.544;1;24.95153;121.55254;24.8
272,273;13;492.2313;5;24.96515;121.53737;40.5
346,347;13.2;1712.632;2;24.96412;121.5167;30.8
362,363;17.1;967.4;4;24.98872;121.53408;40
32,33;37.9;488.5727;1;24.97349;121.53451;34.2
38,39;3.1;577.9615;6;24.97201;121.54722;47.7
338,339;31.5;258.186;9;24.96867;121.54331;36.3
73,74;13.8;4082.015;0;24.94155;121.50381;20
127,128;3.8;383.8624;5;24.98085;121.54391;55
148,149;16.4;3780.59;0;24.93293;121.51203;45.1
110,111;8.1;104.8101;5;24.96674;121.54067;51.6
238,239;12.8;732.8528;0;24.97668;121.52518;40.6
322,323;12.9;187.4823;1;24.97388;121.52981;33.1
290,291;37.7;490.3446;0;24.97217;121.53471;37
6,7;34.5;623.4731;7;24.97933;121.53642;40.3
157,158;16.1;815.9314;4;24.97886;121.53464;35.6
241,242;13.7;250.631;7;24.96606;121.54297;41.4
63,64;2.6;533.4762;4;24.97445;121.54765;55
0,1;32;84.87882;10;24.98298;121.54024;37.9
310,311;16.4;1643.499;2;24.95394;121.55174;24.7
232,233;27.1;4412.765;1;24.95032;121.49587;17.4
47,48;35.9;640.7391;3;24.97563;121.53715;61.5
13,14;20.4;2469.645;4;24.96108;121.51046;23.8
219,220;29.3;529.7771;8;24.98102;121.53655;40.2
223,224;9.1;1402.016;0;24.98569;121.5276;42.3
50,51;21.7;512.5487;4;24.974;121.53842;44.2
149,150;34.9;179.4538;8;24.97349;121.54245;39.7
397,398;13.1;1164.838;4;24.99156;121.53406;32.2
409,410;13.7;4082.015;0;24.94155;121.50381;15.4
